,0
0,"Lo primero es que el personal del hotel fue muy atento desde la llegada. Nos robaron en un taxi autorizado en el aeropuerto y el personal nos ayudó en todo el proceso.   Por otra parte, las instalaciones cómodas, aunque como estaba totalmente lleno el hotel, el restaurante del desayuno se quedó pequeño y el desayuno fue insuficiente (se acabaron los huevos, etc.). Igual pasó con la piscina, El área es muy pequeña debido a que están remodelando (en plena temporada alta!) el área del último piso.  Las habitaciones son amplias y cómodas. La ubicación es excelente, tiene restaurantes y la zona financiera muy cerca. "
1,"Me parecio un excelente hotel y estadia, el internet es lo unico que fue un poco lento pero me imagino que por estar totalmente lleno, aunque igual se pudo ver netflix y todo lo necesario. La limpieza y comida del establecimiento es super buena asi que lo recomiendo totalmente."
2,"Excelente atencion desde el momento que llegamos al hotel, la amabilidad del personal de apoyo. El servicio en el restaurante fue rapido y excelente. En forma general fue excelente el servicio. Recomendare en un 300% al hotel"
3,"La estadía en términos generales buena, pero con un inconveniente tenaz en las habitaciones del primer piso. El ruido de la rumba no permite descansar lo suficiente, por lo demás fué una buena estancia. "
4,"Lo mejor de este hotel es la calidez y amabilidad de todo el personal, lo hacen muy bien es su punto fuerte. El desayuno si bien es variado, no presenta alimentos de calidad y buena elaboración. Las instalaciones son muy normales, pero les falta organizar el acceso al hotel, que permanece bloqueado con carros que impiden la adecuada movilidad y generan mal aspecto. En uno de los días la habotación ni el baño fueron aseados, a pesar de dejar libre la habotaciòn en la segunda hora de la tarde. Al momento del checkin la reserva no aparecía, lo que hizo muy demorado el proceso. La solicitud de piso alto no fue atendida."
5,"Muy buen hotel con una muy buena experiencia y una atencion sensacional, grandes personas con excelentes valores y la mejor disposición para que te sientas muy cómodo. habitaciones muy hermosas y con un ambiente fascinante."
6,"Es un gran hotel, la atención del personal es adecuada, las habitaciones son amplias, muy buen desayuno, en una muy buena zona de la ciudad, cuenta con buenos servicios para los huéspedes, lo recomiendo a ojo cerrado."
7,"Siempre son amables y ágiles en el servicio, el personal está disponible para solucionar todas mis inquietudes. El restaurante ofrece una buena variedad de platos y son rápidos en el servicio al cuarto. La opción de tomar el taxi en la puerta brinda mucha seguridad para los desplazamientos al interior de Barranquilla y al aeropuerto."
8,Fue muy grato pasar la navidad con mi pareja en sus instalaciones. Mil gracias por su hospitalidad y la atención recibida por todo el personal del hotel será muy grato volver cuando se presente nuevamente la oportunidad Mil gracias
9,"Es un espacio Limpio, amplio, cómodo. De las, no sé, 7 u 8 veces que me he quedado allí, solo una he tenido problemas de limpieza con la máquina de café... de resto la experiencia ha sido genial. Siempre he estado allí por viaje de negocio. Me fascina la música del restaurante... "
10,"todo ok, cerca de todo lo que fuimos a buscar. Muy correcta la atención de todo el personal. El desayuno bueno podría tener mayor opción de frutas. La piscina muy tranquila , con buena vista a toda la ciudad."
11,La estadía estuvo de maravilla. Todo el personal  todos muy amables y servicial.la comida excelente igual localización. Las chicas de el restaurante igual lobby  ama de llaves gerentes. Nos dieron untrata súper especial.nos vemos pronto.
12,"Satisfecha todas las expectativas en cuanto al servicio, las instalaciones , la habitacion, como asi tambien el desayuno y la ubicacion del hotel cerca de restaurantes y lugares de entretenimiento.muy bueno la climatizacion del hotel"
13,"El hotel se encuentra ubicado en un sitio estratégico de la ciudad, cuenta con instalaciones de modernos acabados de acuerdo con lo que hoy buscamos los ejecutivos de trabajo. La cama, lo máximo. creo que el beneficio de "
14,"Excelente el servicio en todas las áreas del hotel, la amabilidad y la atención de todos los funcionarios fue la característica fundamental. Las habitaciones muy cómodas, limpias y agradables. El servicio de internet excelenete, igualmente el desayuno que se identifica por un amplio menú y sobre todo la atención del personal que labora en esta área"
15,"El staff es increible, visitar colombia y tener toda esta gente tan alegre y educada me dio una muy buena impresion del pais. El desayuno fue muy muy muy muy  bueno.  Recibi ayuda, recomendaciones todo estaba bien."
16,"La atención recibida fue muy agradable, las instalaciones confortables y amenas, es un hotel para volver a seleccionar para una próxima oportunidad de estadía y para recomendar, que la calidad en el servicio e instalaciones nunca baje, por el contrario siga siendo aun mucho mejor."
